trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,stock_baseline,a40,holdout_robust_score,-89.33191567915858,0.0874,0.33,0.5,100.0,0.6073,1.52,0.54,4292608,64.28953218460083,,,,,-89.33191567915858,-2.6166145938966148,-7.0958693137629325,-17.955726010798735,-1.0168943139657467,25.407558188414033,0.55,-2.349362273308379,-16.552065134181916,-0.18480210602107203,25.407558188414033,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,stock_trade_pen_01,a40,holdout_robust_score,-155.02138196694415,-0.0035,0.27,0.5116,0.0,0.8338,1.95,0.54,3473408,53.555930376052856,,,,,-155.02138196694415,-12.684201983052366,-18.18256430527643,-32.948522746638034,-2.798876983129034,32.881404150788825,0.95,-9.323762709170497,-20.60189662245437,-1.8867391261790039,31.853755455782434,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
2,stock_trade_pen_02,a40,holdout_robust_score,-122.14602893368453,0.0001,0.16,0.5333,100.0,-0.0393,0.09,0.51,1867776,33.488537073135376,,,,,-122.14602893368453,-7.03632553880244,-11.015572332508103,-24.779208129670533,-2.655628849485634,24.703912041712247,0.85,-7.353511087528913,-13.754926892303216,-1.7723905234768726,21.64223047197441,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
3,stock_trade_pen_03,a40,holdout_robust_score,3.098803980042833,0.1965,1.94,0.5882,100.0,0.908,2.17,0.55,4292608,64.78649091720581,,,,,3.098803980042833,16.76191327010293,4.0006120882081495,-0.1540526609880726,2.5420088631342748,8.764921133470816,0.05,15.93749122636009,2.668356413471525,6.296250273750706,5.946629446505228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,stock_trade_pen_05,a40,holdout_robust_score,-92.58463887982964,-0.1463,-1.25,0.3,0.0,0.6101,1.77,0.55,3571712,53.68305468559265,,,,,-92.58463887982964,-3.446206621999874,-8.908927463977385,-15.866133216937506,-2.49731490632698,17.82360508066106,0.75,-3.6427656814263814,-14.093506475609917,-1.3369200770963152,17.74957229244545,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,stock_trade_pen_08,a40,holdout_robust_score,-59.25116820975054,0.0,0.0,0.0,0.0,0.0226,2.72,0.49,4292608,59.64100408554077,,,,,-59.25116820975054,-0.23844603980621654,0.0,-3.363452717676828,0.0,3.363452717676828,1.0,0.0,-0.14054680784475002,0.0,0.1405468078447522,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
6,stock_trade_pen_10,a40,holdout_robust_score,-45.029884604494924,0.0,0.0,0.0,0.0,-0.0,0.01,0.04,4292608,64.35621166229248,,,,,-45.029884604494924,0.15032970144308455,0.0,0.0,0.0,0.1000000000000059,0.9,0.0,0.0,0.0,0.010000000000000675,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
7,stock_longshort,a40,holdout_robust_score,-74.33686789224963,0.158,1.58,0.6207,100.0,0.8745,1.96,0.55,4292608,71.98875594139099,,,,,-74.33686789224963,-0.4589583407282326,-3.7863938322425157,-17.854277504080073,-0.7990298362770287,24.947689279596354,0.35,1.5091109245493681,-12.939291447376286,0.7738620145265631,20.923904937872386,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
8,stock_ent_03,a40,holdout_robust_score,-78.7558507395639,0.1864,1.56,0.617,100.0,1.177,2.36,0.55,4292608,67.65774774551392,,,,,-78.7558507395639,2.746423594697747,-5.424868515091761,-19.467225847562432,-0.9273768383883848,20.695310288867898,0.45,4.494523395925152,-8.26700171765215,1.7516293830126823,18.090567945022386,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,stock_ent_05,a40,holdout_robust_score,-158.4744559589007,-0.35,-2.32,0.4595,0.0,0.106,0.51,0.52,1802240,35.62171149253845,,,,,-158.4744559589007,-13.136939364204384,-16.82879976403028,-34.48545457251986,-2.981338287798212,35.69506968438935,0.95,-12.784598995981087,-22.54049206243417,-2.099105011279228,23.166681855516092,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
