timestamp,provider,count
2025-10-24T19:58:08.808416+00:00,yahoo,16
2025-10-24T20:02:33.274783+00:00,yahoo,16
2025-10-24T20:05:13.525393+00:00,yahoo,16
2025-10-24T20:09:49.181406+00:00,yahoo,16
2025-10-24T20:12:29.445074+00:00,yahoo,16
2025-10-24T20:14:44.490864+00:00,yahoo,16
2025-10-24T20:19:06.508218+00:00,yahoo,16
2025-10-24T20:21:04.217644+00:00,yahoo,16
2025-10-24T20:23:27.611299+00:00,yahoo,16
2025-10-24T20:25:51.026708+00:00,yahoo,16
2025-10-24T20:27:55.603456+00:00,yahoo,16
2025-10-24T20:28:38.196921+00:00,yahoo,16
2025-10-24T20:44:17.191000+00:00,yahoo,16
2025-10-24T20:46:06.984364+00:00,yahoo,16
2025-10-24T20:46:47.500905+00:00,yahoo,16
2025-10-24T20:48:16.425460+00:00,yahoo,16
2025-10-24T20:49:55.999224+00:00,yahoo,16
2025-10-24T20:55:30.987087+00:00,yahoo,16
2025-10-24T21:00:00.710683+00:00,yahoo,16
2025-10-24T21:06:53.096404+00:00,yahoo,16
2025-10-24T21:12:39.774769+00:00,yahoo,16
2025-10-24T21:25:02.985163+00:00,yahoo,16
2025-10-24T21:37:09.735001+00:00,yahoo,16
2025-10-24T21:41:14.265560+00:00,yahoo,16
2025-10-24T21:52:06.990685+00:00,yahoo,16
2025-10-24T22:02:50.246270+00:00,yahoo,16
2025-10-24T22:06:21.130468+00:00,yahoo,16
