timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T15:50:46Z,tp03_s300,best.pt,111,3.87,-14.67,23.49,-17.51,46,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/best.pt
2026-03-27T15:50:51Z,tp03_s301,best.pt,111,-1.45,-4.56,0.78,-6.80,80,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s301/best.pt
2026-03-27T15:50:55Z,tp03_s302,best.pt,111,-15.16,-21.60,10.13,-25.92,73,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s302/best.pt
2026-03-27T15:50:59Z,tp03_s303,best.pt,111,-10.53,-23.42,8.84,-29.95,80,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s303/best.pt
2026-03-27T15:53:03Z,tp03_s300,best.pt,111,19.53,-3.82,34.36,-8.03,28,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/best.pt
2026-03-27T15:53:07Z,tp03_s300,val_best.pt,111,17.41,-3.12,32.94,-6.34,27,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/val_best.pt
2026-03-27T15:53:11Z,tp03_s301,best.pt,111,-7.96,-13.37,2.61,-17.03,91,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s301/best.pt
2026-03-27T15:53:16Z,tp03_s301,val_best.pt,111,-5.23,-10.83,6.16,-16.06,74,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s301/val_best.pt
2026-03-27T15:53:20Z,tp03_s302,best.pt,111,-11.38,-14.15,-1.55,-16.38,108,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s302/best.pt
2026-03-27T15:53:24Z,tp03_s302,val_best.pt,111,-1.74,-14.42,8.86,-19.65,64,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s302/val_best.pt
2026-03-27T15:53:29Z,tp03_s303,best.pt,111,-8.34,-18.60,1.91,-23.97,89,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s303/best.pt
2026-03-27T15:53:33Z,tp03_s303,val_best.pt,111,-0.85,-19.60,19.91,-22.84,60,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s303/val_best.pt
2026-03-27T15:55:37Z,tp03_s300,best.pt,111,3.48,-10.00,23.99,-15.92,35,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/best.pt
2026-03-27T15:55:41Z,tp03_s304,best.pt,111,2.70,-6.90,8.07,-8.34,37,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s304/best.pt
2026-03-27T15:55:45Z,tp03_s305,best.pt,111,9.33,-12.58,35.20,-26.70,36,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s305/best.pt
2026-03-27T15:55:50Z,tp03_s306,best.pt,111,1.70,-7.81,9.00,-14.28,46,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s306/best.pt
2026-03-27T15:57:54Z,tp03_s300,best.pt,111,18.01,-11.75,34.24,-16.25,38,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/best.pt
2026-03-27T15:57:59Z,tp03_s300,val_best.pt,111,10.78,-9.26,27.74,-15.36,45,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/val_best.pt
2026-03-27T15:58:03Z,tp03_s304,best.pt,111,2.70,-6.90,8.07,-8.34,37,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s304/best.pt
2026-03-27T15:58:07Z,tp03_s305,best.pt,111,2.70,-10.61,18.33,-20.29,45,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s305/best.pt
2026-03-27T16:11:28Z,tp03_s305,best.pt,111,2.85,-17.41,25.45,-25.80,45,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s305/best.pt
2026-03-27T16:24:49Z,tp03_s305,val_best.pt,111,0.04,-22.61,11.30,-30.67,55,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s305/val_best.pt
2026-03-27T16:35:17Z,tp03_s309,val_best.pt,111,2.44,-11.17,13.02,-18.74,47,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s309/val_best.pt
2026-03-27T16:52:16Z,tp03_s310,val_best.pt,111,-12.54,-26.31,-4.17,-36.43,107,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s310/val_best.pt
2026-03-27T17:17:20Z,tp03_s300,best.pt,111,16.15,-12.06,28.03,-19.47,20,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s300/best.pt
2026-03-27T17:41:14Z,tp03_s311,val_best.pt,111,-0.29,-6.98,22.82,-12.59,57,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s311/val_best.pt
2026-03-27T18:12:25Z,tp03_s312,best.pt,111,0.00,0.00,0.00,-9.01,10,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s312/best.pt
2026-03-27T18:34:57Z,tp03_s312,val_best.pt,111,-10.50,-26.74,22.71,-34.68,71,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s312/val_best.pt
2026-03-27T18:57:46Z,tp03_s313,val_best.pt,111,-3.91,-7.40,-1.40,-11.80,108,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s313/val_best.pt
2026-03-27T19:23:14Z,tp03_s314,val_best.pt,111,-3.74,-8.65,-0.08,-12.77,101,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s314/val_best.pt
2026-03-27T19:44:38Z,tp03_s315,val_best.pt,111,0.00,0.00,0.00,-2.73,8,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s315/val_best.pt
2026-03-27T20:03:20Z,tp03_s316,val_best.pt,111,-2.99,-15.92,2.02,-21.21,75,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s316/val_best.pt
2026-03-27T20:24:54Z,tp03_s317,val_best.pt,111,-10.43,-22.77,3.08,-30.09,87,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s317/val_best.pt
2026-03-27T20:43:50Z,tp03_s322,val_best.pt,111,-18.17,-32.91,-8.95,-40.43,111,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s322/val_best.pt
2026-03-27T20:56:29Z,tp03_s323,val_best.pt,111,-1.88,-13.32,2.52,-18.46,72,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s323/val_best.pt
2026-03-27T21:19:47Z,tp03_s324,val_best.pt,111,-3.96,-7.52,0.36,-11.67,99,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s324/val_best.pt
2026-03-27T21:37:34Z,tp03_s325,val_best.pt,111,-2.64,-12.50,5.51,-16.94,71,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s325/val_best.pt
2026-03-27T21:58:01Z,tp03_s326,val_best.pt,111,-10.57,-15.03,-4.72,-18.19,108,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s326/val_best.pt
2026-03-27T22:25:51Z,tp03_s327,val_best.pt,111,-1.76,-7.60,17.07,-13.10,59,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s327/val_best.pt
2026-03-27T22:53:39Z,tp03_s328,val_best.pt,111,-6.73,-19.57,1.60,-29.00,90,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s328/val_best.pt
2026-03-27T23:15:36Z,tp03_s329,best.pt,111,-2.46,-11.15,7.90,-16.38,63,pufferlib_market/checkpoints/stocks12_sweep_tp03/tp03_s329/best.pt
