symbol,config,best_epoch,val_sortino,val_return,sharpness,wd_scale,wall_s,error
DOTUSD,fullstack_spec_multi,15,263.547,7.7807,2154.2,2.0,0,
ARBUSD,periodic_wd01_rho02,7,220.094,4.7116,285.4,2.0,0,
APTUSD,lr5e4_sam_cosine_wd01,11,217.515,4.2081,953.2,2.0,0,
INJUSD,long40ep_lr1e4_sam,23,198.665,4.4248,1639.5,2.0,0,
ALGOUSD,lr5e4_sam_cosine_wd01,6,192.45,3.9189,875.4,2.0,0,
ADAUSD,baseline_wd01,15,182.128,3.7622,0.0,1.0,0,
ICPUSD,periodic_wd01,9,164.013,3.7034,1365.4,2.0,0,
DOGEUSD,periodic_wd01,9,153.807,2.9723,1265.7,2.0,0,
FILUSD,periodic_wd01,9,143.781,4.3742,1711.6,2.0,0,
ATOMUSD,periodic_wd01,6,132.677,2.5983,832.9,2.0,0,
LINKUSD,periodic_wd01,10,108.963,1.4416,1318.8,2.0,0,
BCHUSD,baseline_wd01,9,101.604,1.5751,0.0,1.0,0,
BTCUSD,periodic_wd01,13,96.696,2.3096,388.6,1.75,0,
ETHUSD,baseline_wd01,9,91.74,2.9745,0.0,1.0,0,
BNBUSD,baseline_wd01,9,50.533,1.8528,0.0,1.0,0,
